Root node created. Lower Bound: 96
Path: 0 7 3 2 1 | Lower Bound: 55
Path: 0 7 3 2 4 | Lower Bound: 53
Path: 0 7 3 2 5 | Lower Bound: 56
Path: 0 7 3 2 6 | Lower Bound: 58
Path: 0 7 3 2 8 | Lower Bound: 57
Path: 0 7 3 2 9 | Lower Bound: 47
Path: 0 8 2 1 | Lower Bound: 58
Path: 0 8 2 3 | Lower Bound: 43
Path: 0 8 2 4 | Lower Bound: 50
Path: 0 8 2 5 | Lower Bound: 58
Path: 0 8 2 6 | Lower Bound: 67
Path: 0 8 2 7 | Lower Bound: 59
Path: 0 8 2 9 | Lower Bound: 48
Path: 0 2 3 9 1 | Lower Bound: 53
Path: 0 2 3 9 4 | Lower Bound: 61
Path: 0 2 3 9 5 | Lower Bound: 61
Path: 0 2 3 9 6 | Lower Bound: 60
Path: 0 2 3 9 7 | Lower Bound: 53
Path: 0 2 3 9 8 | Lower Bound: 50
